variable,year,month,ebcc_pointwise_max_error_ratio,data_size_bytes,compression_time,decompression_time,compression_ratio,compression_bandwidth,decompression_bandwidth,num_residual_runs
10m_u_component_of_wind,2024,12,1,66447360,23.09664034843445,9.933120489120483,14.324571248225256,2.8769275096974867,6.689474880806919,2
10m_v_component_of_wind,2024,12,1,66447360,22.997313261032104,10.00952959060669,13.856820099422725,2.8893531712068303,6.638409867168648,2
2m_temperature,2024,12,1,66447360,22.845133066177368,9.98783564567566,20.979525442908166,2.9086002610497603,6.652828736601117,2
