variable,year,month,ebcc_pointwise_max_error_ratio,data_size_bytes,compression_time,decompression_time,compression_ratio,compression_bandwidth,decompression_bandwidth,num_residual_runs
10m_u_component_of_wind,2024,12,1,531578880,258.6420187950134,107.97597146034241,16.364658481775294,2.0552688324834896,4.923121994741573,2
10m_v_component_of_wind,2024,12,1,531578880,258.5458607673645,108.35387206077576,16.74202599413036,2.0560332252942404,4.905951858387092,2
2m_temperature,2024,12,1,531578880,267.27332377433777,112.83323931694031,23.620019303778935,1.9888961325927865,4.711190454320237,2
