variable,year,month,ebcc_pointwise_max_error_ratio,data_size_bytes,compression_time,decompression_time,compression_ratio,compression_bandwidth,decompression_bandwidth,num_residual_runs
10m_u_component_of_wind,2024,12,1,132894720,46.413923025131226,20.06949210166931,13.585258396973956,2.8632511827979505,6.621728109848195,2
10m_v_component_of_wind,2024,12,1,132894720,46.14015293121338,19.999540328979492,14.060609241096868,2.880240128335118,6.644888723139027,2
2m_temperature,2024,12,1,132894720,45.904078245162964,19.97038984298706,21.71075808353534,2.895052576597668,6.65458817002855,2
