variable,year,month,ebcc_pointwise_max_error_ratio,data_size_bytes,compression_time,decompression_time,compression_ratio,compression_bandwidth,decompression_bandwidth,num_residual_runs
10m_u_component_of_wind,2024,12,1,531578880,171.67835998535156,75.48044395446777,16.585771313937318,3.0963650866967565,7.0426040461641355,2
10m_v_component_of_wind,2024,12,1,531578880,171.74706172943115,75.6888256072998,16.914348901516394,3.0951264880295004,7.023214797360152,2
2m_temperature,2024,12,1,531578880,170.81670594215393,74.78795838356018,23.905285976321494,3.111984141527797,7.107813764265709,2
